index,category,name,semester,expected_date,start_time,end_time,registar_account,registration_date
1,レポート,21年度有効期限,None,2023-03-31 23:59:59,None,None,System,2022-07-04 23:59:59
2,レポート,科目試験受験資格の期限,1,2022-03-03 23:59:59,None,None,System,2022-07-04 23:59:59
3,レポート,科目試験受験資格の期限,2,2022-05-26 23:59:59,None,None,System,2022-07-04 23:59:59
4,レポート,科目試験受験資格の期限,3,2022-09-01 23:59:59,None,None,System,2022-07-04 23:59:59
5,レポート,科目試験受験資格の期限,4,2022-11-24 23:59:59,None,None,System,2022-07-04 23:59:59
6,レポート,科目試験受験資格の期限,5,2023-02-20 23:59:59,None,None,System,2022-07-04 23:59:59
7,科目試験,申し込み,1,2022-03-04 00:00:00,2022-03-04 00:00:00,2022-03-10 23:59:59,System,2022-07-04 23:59:59
8,科目試験,申し込み,2,2022-05-27 00:00:00,2022-06-02 00:00:00,2022-06-02 23:59:59,System,2022-07-04 23:59:59
9,科目試験,申し込み,3,2022-09-02 00:00:00,2022-09-02 00:00:00,2022-09-08 23:59:59,System,2022-07-04 23:59:59
10,科目試験,申し込み,4,2022-11-25 00:00:00,2022-11-25 00:00:00,2022-12-01 23:59:59,System,2022-07-04 23:59:59
11,科目試験,申し込み,5,2023-03-04 00:00:00,2023-03-04 00:00:00,2023-03-10 23:59:59,System,2022-07-04 23:59:59
12,科目試験,本番,1,2022-04-09 00:00:00,2022-04-09 00:00:00,2022-04-10 23:59:59,System,2022-07-04 23:59:59
13,科目試験,本番,2,2022-07-02 00:00:00,2022-07-02 00:00:00,2022-07-03 23:59:59,System,2022-07-04 23:59:59
14,科目試験,代替レポ,3,2022-09-29 00:00:00,2022-09-29 00:00:00,2022-10-11 23:59:59,System,2022-07-04 23:59:59
15,科目試験,代替レポ,4,2023-01-05 00:00:00,2023-01-05 00:00:00,2023-01-17 23:59:59,System,2022-07-04 23:59:59
16,履修申告,夏スク(日吉・三田),None,2022-05-12 00:00:00,2022-05-12 00:00:00,2022-05-27 23:59:59,System,2022-07-04 23:59:59
17,履修申告,夜スク(三田),None,2022-07-26 00:00:00,2022-07-26 00:00:00,2022-08-10 10:59:00,System,2022-07-04 23:59:59
18,履修申告,夜スク(大阪),None,2022-07-26 00:00:00,2022-07-26 00:00:00,2022-08-10 10:59:00,System,2022-07-04 23:59:59
19,履修申告,週末スク(三田),None,2022-07-26 00:00:00,2022-07-26 00:00:00,2022-08-10 10:59:00,System,2022-07-04 23:59:59
20,履修申告,週末スク(大阪),None,2022-07-26 00:00:00,2022-07-26 00:00:00,2022-08-10 10:59:00,System,2022-07-04 23:59:59
21,履修申告,Eスク(春期),None,2022-02-08 00:00:00,2022-02-08 00:00:00,2022-02-15 23:59:59,System,2022-07-04 23:59:59
